liczba_przypadkow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;data_raportu;stan_rekordu_na;wojewodztwo
688;30;7;23;1122;179;10202;5849;745;5039;65;t24;20210210;2021-02-09;Śląskie
131;16;3;13;176;42;2118;1332;158;1136;38;t26;20210210;2021-02-09;Świętokrzyskie
607;17;3;14;819;101;7794;2576;625;1927;24;t28;20210210;2021-02-09;Warmińsko-mazurskie
627;32;15;17;1042;158;12587;4367;700;3614;53;t30;20210210;2021-02-09;Wielkopolskie
353;18;1;17;626;173;7350;2277;370;1873;34;t32;20210210;2021-02-09;Zachodniopomorskie
7008;456;95;361;12118;4845;144541;51690;7663;43300;727;t00;20210211;2021-02-10;cały kraj
396;22;6;16;697;269;7959;3174;439;2705;30;t02;20210211;2021-02-10;Dolnośląskie
567;31;2;29;976;456;10714;2877;616;2188;73;t04;20210211;2021-02-10;Kujawsko-pomorskie
320;44;1;43;534;271;6531;2325;349;1948;28;t06;20210211;2021-02-10;Lubelskie
227;19;15;4;381;129;4532;1340;245;1089;6;t08;20210211;2021-02-10;Lubuskie
416;28;4;24;646;285;8567;3158;460;2634;64;t10;20210211;2021-02-10;Łódzkie
364;27;18;9;658;231;7314;3413;388;2988;37;t12;20210211;2021-02-10;Małopolskie
1087;88;18;70;2151;706;28352;8109;1220;6740;149;t14;20210211;2021-02-10;Mazowieckie
152;3;0;3;176;86;2584;1367;169;1184;14;t16;20210211;2021-02-10;Opolskie
357;8;3;5;486;185;5799;2555;396;2132;27;t18;20210211;2021-02-10;Podkarpackie
252;11;0;11;438;174;4770;1260;270;979;11;t20;20210211;2021-02-10;Podlaskie
702;75;5;70;1002;389;13603;3700;734;2900;66;t22;20210211;2021-02-10;Pomorskie
621;22;3;19;1192;487;10746;5162;673;4429;60;t24;20210211;2021-02-10;Śląskie
119;11;0;11;195;80;2178;1647;139;1475;33;t26;20210211;2021-02-10;Świętokrzyskie
494;15;3;12;844;384;9146;2606;513;2065;28;t28;20210211;2021-02-10;Warmińsko-mazurskie
556;38;17;21;1145;384;14119;4380;615;3723;42;t30;20210211;2021-02-10;Wielkopolskie
272;14;0;14;594;283;7620;2135;321;1785;29;t32;20210211;2021-02-10;Zachodniopomorskie
6379;247;46;201;11529;6326;149615;48897;7077;41122;698;t00;20210212;2021-02-11;cały kraj
399;21;7;14;841;335;8191;3456;441;2967;48;t02;20210212;2021-02-11;Dolnośląskie
512;15;1;14;924;425;11055;3206;570;2579;57;t04;20210212;2021-02-11;Kujawsko-pomorskie
316;20;3;17;511;314;6647;2392;349;2027;16;t06;20210212;2021-02-11;Lubelskie
221;6;2;4;409;187;4787;1543;261;1250;32;t08;20210212;2021-02-11;Lubuskie
249;18;5;13;619;375;8807;2571;298;2219;54;t10;20210212;2021-02-11;Łódzkie
251;14;6;8;483;327;7212;2884;273;2572;39;t12;20210212;2021-02-11;Małopolskie
1010;25;5;20;2053;1100;29605;8019;1121;6775;123;t14;20210212;2021-02-11;Mazowieckie
85;6;0;6;175;114;2692;808;95;707;6;t16;20210212;2021-02-11;Opolskie
328;11;1;10;380;206;6110;2202;371;1809;22;t18;20210212;2021-02-11;Podkarpackie
266;10;1;9;378;238;4914;1269;289;962;18;t20;20210212;2021-02-11;Podlaskie
581;30;3;27;1085;585;14092;3457;635;2739;83;t22;20210212;2021-02-11;Pomorskie
523;19;2;17;1031;579;10845;4724;584;4100;40;t24;20210212;2021-02-11;Śląskie
131;7;0;7;180;89;2166;1455;157;1252;46;t26;20210212;2021-02-11;Świętokrzyskie
534;11;2;9;803;470;9786;1877;556;1305;16;t28;20210212;2021-02-11;Warmińsko-mazurskie
535;15;8;7;1062;568;14617;3966;579;3355;32;t30;20210212;2021-02-11;Wielkopolskie
316;19;0;19;591;372;8082;2191;358;1795;38;t32;20210212;2021-02-11;Zachodniopomorskie
6586;284;45;239;11803;6662;147961;49712;7284;41783;645;t00;20210213;2021-02-12;cały kraj
404;16;2;14;697;376;8085;3418;440;2953;25;t02;20210213;2021-02-12;Dolnośląskie
518;28;1;27;892;689;10759;3222;608;2554;60;t04;20210213;2021-02-12;Kujawsko-pomorskie
265;20;1;19;563;304;6400;2248;295;1930;23;t06;20210213;2021-02-12;Lubelskie
234;9;4;5;370;272;4755;1549;259;1274;16;t08;20210213;2021-02-12;Lubuskie
311;13;2;11;635;313;8447;3124;342;2727;55;t10;20210213;2021-02-12;Łódzkie
356;11;4;7;593;304;7147;3202;386;2777;39;t12;20210213;2021-02-12;Małopolskie
1090;45;8;37;2133;1025;29257;8393;1212;7053;128;t14;20210213;2021-02-12;Mazowieckie
119;24;1;23;203;122;2595;1376;126;1232;18;t16;20210213;2021-02-12;Opolskie
296;13;3;10;466;244;6196;1879;333;1534;12;t18;20210213;2021-02-12;Podkarpackie
292;10;2;8;394;339;4840;1254;315;927;12;t20;20210213;2021-02-12;Podlaskie
576;25;3;22;1043;609;14485;3174;612;2506;56;t22;20210213;2021-02-12;Pomorskie
549;22;4;18;1144;551;10674;4123;590;3478;55;t24;20210213;2021-02-12;Śląskie
129;4;1;3;201;98;2155;1391;181;1170;40;t26;20210213;2021-02-12;Świętokrzyskie
503;7;1;6;813;464;10163;2005;528;1455;22;t28;20210213;2021-02-12;Warmińsko-mazurskie
495;20;8;12;1050;533;14171;3798;559;3200;39;t30;20210213;2021-02-12;Wielkopolskie
333;17;0;17;600;371;7825;2191;362;1800;29;t32;20210213;2021-02-12;Zachodniopomorskie
5334;98;21;77;284;5681;137229;34566;5740;28260;566;t00;20210214;2021-02-13;cały kraj
265;1;0;1;6;299;7488;1997;283;1689;25;t02;20210214;2021-02-13;Dolnośląskie
403;3;1;2;40;497;9596;2175;461;1652;62;t04;20210214;2021-02-13;Kujawsko-pomorskie
224;3;1;2;38;262;5766;1661;238;1408;15;t06;20210214;2021-02-13;Lubelskie
215;2;2;0;10;179;4388;884;232;646;6;t08;20210214;2021-02-13;Lubuskie
231;3;2;1;18;343;7830;1982;250;1678;54;t10;20210214;2021-02-13;Łódzkie
212;2;2;0;6;260;6480;2271;226;2005;40;t12;20210214;2021-02-13;Małopolskie
1001;30;4;26;38;938;27135;5230;1067;4033;130;t14;20210214;2021-02-13;Mazowieckie
102;0;0;0;0;89;2342;906;106;796;4;t16;20210214;2021-02-13;Opolskie
208;14;1;13;27;187;5784;1435;243;1173;19;t18;20210214;2021-02-13;Podkarpackie
146;10;1;9;3;204;4669;764;162;598;4;t20;20210214;2021-02-13;Podlaskie
651;10;2;8;30;532;13438;3277;679;2537;61;t22;20210214;2021-02-13;Pomorskie
502;2;1;1;19;504;9732;2859;528;2301;30;t24;20210214;2021-02-13;Śląskie
98;1;0;1;0;103;1985;909;104;774;31;t26;20210214;2021-02-13;Świętokrzyskie
221;1;0;1;6;369;10078;904;237;652;15;t28;20210214;2021-02-13;Warmińsko-mazurskie
511;11;4;7;40;545;13019;2923;543;2345;35;t30;20210214;2021-02-13;Wielkopolskie
214;5;0;5;3;320;7489;1469;235;1216;18;t32;20210214;2021-02-13;Zachodniopomorskie
2543;25;5;20;175;5713;128654;22556;2932;19298;326;t00;20210215;2021-02-14;cały kraj
167;1;0;1;5;371;6696;1098;174;916;8;t02;20210215;2021-02-14;Dolnośląskie
197;0;0;0;36;459;8922;1426;238;1168;20;t04;20210215;2021-02-14;Kujawsko-pomorskie
61;3;1;2;10;308;5419;896;82;807;7;t06;20210215;2021-02-14;Lubelskie
77;0;0;0;4;175;4349;621;105;511;5;t08;20210215;2021-02-14;Lubuskie
74;0;0;0;12;310;7339;1206;85;1102;19;t10;20210215;2021-02-14;Łódzkie
115;3;1;2;1;273;6144;1520;131;1358;31;t12;20210215;2021-02-14;Małopolskie
473;0;0;0;30;959;25527;3271;524;2688;59;t14;20210215;2021-02-14;Mazowieckie
40;0;0;0;5;101;2124;573;51;521;1;t16;20210215;2021-02-14;Opolskie
211;2;0;2;3;221;5461;1279;227;1040;12;t18;20210215;2021-02-14;Podkarpackie
59;0;0;0;2;219;4371;434;69;362;3;t20;20210215;2021-02-14;Podlaskie
344;2;0;2;19;547;12610;2288;367;1871;50;t22;20210215;2021-02-14;Pomorskie
146;2;0;2;3;485;9188;2026;176;1827;23;t24;20210215;2021-02-14;Śląskie
59;2;2;0;2;96;1904;763;70;672;21;t26;20210215;2021-02-14;Świętokrzyskie
140;0;0;0;12;398;9673;751;153;591;7;t28;20210215;2021-02-14;Warmińsko-mazurskie
157;8;1;7;24;417;11917;1717;216;1471;30;t30;20210215;2021-02-14;Wielkopolskie
111;2;0;2;7;316;7003;1035;136;877;22;t32;20210215;2021-02-14;Zachodniopomorskie
5178;196;44;152;21955;5108;139469;46241;5936;39773;532;t00;20210216;2021-02-15;cały kraj
258;11;7;4;1351;285;7314;3166;324;2803;39;t02;20210216;2021-02-15;Dolnośląskie
384;19;2;17;1691;455;9736;2989;430;2516;43;t04;20210216;2021-02-15;Kujawsko-pomorskie
254;13;1;12;961;228;5955;2284;283;1984;17;t06;20210216;2021-02-15;Lubelskie
158;7;3;4;833;184;4625;1542;171;1351;20;t08;20210216;2021-02-15;Lubuskie
355;16;3;13;1228;230;8214;3260;399;2806;55;t10;20210216;2021-02-15;Łódzkie
224;16;8;8;1142;223;6649;2986;253;2691;42;t12;20210216;2021-02-15;Małopolskie
824;24;9;15;3592;849;27802;5959;940;4930;89;t14;20210216;2021-02-15;Mazowieckie
49;5;0;5;337;95;2268;1177;53;1112;12;t16;20210216;2021-02-15;Opolskie
279;4;1;3;923;244;5902;2625;379;2237;9;t18;20210216;2021-02-15;Podkarpackie
198;2;0;2;798;166;4648;1143;221;907;15;t20;20210216;2021-02-15;Podlaskie
404;22;3;19;1793;626;13584;2501;444;2011;46;t22;20210216;2021-02-15;Pomorskie
342;23;3;20;2086;378;10383;4464;405;4035;24;t24;20210216;2021-02-15;Śląskie
73;7;1;6;369;78;2080;1308;104;1185;19;t26;20210216;2021-02-15;Świętokrzyskie
616;16;2;14;1632;271;10605;2837;647;2160;30;t28;20210216;2021-02-15;Warmińsko-mazurskie
379;5;1;4;2047;514;12477;3362;445;2880;37;t30;20210216;2021-02-15;Wielkopolskie
245;6;0;6;1161;232;7217;2195;279;1892;24;t32;20210216;2021-02-15;Zachodniopomorskie
8694;279;45;234;14960;2461;141093;54781;9387;44606;788;t00;20210217;2021-02-16;cały kraj
432;18;8;10;1034;104;7643;3755;470;3244;41;t02;20210217;2021-02-16;Dolnośląskie
582;13;0;13;1119;248;9649;3153;615;2482;56;t04;20210217;2021-02-16;Kujawsko-pomorskie
359;17;4;13;572;116;5813;2501;394;2071;36;t06;20210217;2021-02-16;Lubelskie
245;18;12;6;516;82;4716;1628;262;1358;8;t08;20210217;2021-02-16;Lubuskie
478;14;3;11;776;105;8182;3441;523;2868;50;t10;20210217;2021-02-16;Łódzkie
515;24;6;18;804;96;6724;3690;538;3097;55;t12;20210217;2021-02-16;Małopolskie
1400;38;2;36;2725;415;28147;7786;1513;6106;167;t14;20210217;2021-02-16;Mazowieckie
89;15;1;14;224;44;2358;1234;102;1125;7;t16;20210217;2021-02-16;Opolskie
396;11;0;11;608;125;6293;3013;493;2494;26;t18;20210217;2021-02-16;Podkarpackie
361;16;0;16;491;74;4659;1464;400;1053;11;t20;20210217;2021-02-16;Podlaskie
683;20;1;19;1285;351;13648;3534;721;2749;64;t22;20210217;2021-02-16;Pomorskie
872;30;0;30;1463;203;10884;5627;927;4615;85;t24;20210217;2021-02-16;Śląskie
150;4;1;3;244;49;2160;1421;168;1212;41;t26;20210217;2021-02-16;Świętokrzyskie
795;11;1;10;1102;109;10842;2756;826;1885;45;t28;20210217;2021-02-16;Warmińsko-mazurskie
770;21;6;15;1317;177;12217;4517;814;3652;51;t30;20210217;2021-02-16;Wielkopolskie
430;9;0;9;674;126;7148;2429;450;1950;29;t32;20210217;2021-02-16;Zachodniopomorskie
9073;273;44;229;14737;4363;153920;54077;9787;43480;810;t00;20210218;2021-02-17;cały kraj
544;6;2;4;925;176;7954;3907;578;3300;29;t02;20210218;2021-02-17;Dolnośląskie
762;30;4;26;1064;352;10455;3556;823;2678;55;t04;20210218;2021-02-17;Kujawsko-pomorskie
326;18;1;17;610;221;6280;2388;343;1994;51;t06;20210218;2021-02-17;Lubelskie
384;4;4;0;444;140;5043;1775;404;1353;18;t08;20210218;2021-02-17;Lubuskie
311;14;4;10;722;224;8549;2955;348;2546;61;t10;20210218;2021-02-17;Łódzkie
427;11;7;4;807;211;7566;3169;451;2676;42;t12;20210218;2021-02-17;Małopolskie
1633;53;11;42;2691;662;30338;8680;1792;6712;176;t14;20210218;2021-02-17;Mazowieckie
160;6;0;6;223;60;2499;1329;174;1145;10;t16;20210218;2021-02-17;Opolskie
487;16;0;16;675;179;7237;2636;546;2076;14;t18;20210218;2021-02-17;Podkarpackie
265;15;0;15;457;221;5098;1380;292;1077;11;t20;20210218;2021-02-17;Podlaskie
807;33;5;28;1224;423;15047;3514;852;2597;65;t22;20210218;2021-02-17;Pomorskie
725;23;1;22;1438;393;11984;5866;796;4967;103;t24;20210218;2021-02-17;Śląskie
201;10;2;8;286;72;2313;1507;221;1249;37;t26;20210218;2021-02-17;Świętokrzyskie
774;10;3;7;1143;471;12186;2257;803;1419;35;t28;20210218;2021-02-17;Warmińsko-mazurskie
709;18;0;18;1289;273;13433;4011;757;3206;48;t30;20210218;2021-02-17;Wielkopolskie
428;6;0;6;730;240;7925;2440;464;1940;36;t32;20210218;2021-02-17;Zachodniopomorskie
8777;241;43;198;14507;6804;163974;49449;9462;39215;772;t00;20210219;2021-02-18;cały kraj
554;15;5;10;884;287;8279;3472;620;2808;44;t02;20210219;2021-02-18;Dolnośląskie
601;19;2;17;1047;540;10708;3025;657;2323;45;t04;20210219;2021-02-18;Kujawsko-pomorskie
328;21;1;20;647;312;6816;2424;363;2026;35;t06;20210219;2021-02-18;Lubelskie
299;11;6;5;482;212;5277;1524;326;1183;15;t08;20210219;2021-02-18;Lubuskie
495;22;6;16;754;384;8809;3221;535;2612;74;t10;20210219;2021-02-18;Łódzkie
548;11;2;9;816;345;7959;3557;577;2940;40;t12;20210219;2021-02-18;Małopolskie
1427;24;2;22;2625;1157;32492;7288;1535;5580;173;t14;20210219;2021-02-18;Mazowieckie
122;0;0;0;213;75;2694;1060;130;921;9;t16;20210219;2021-02-18;Opolskie
464;15;3;12;662;357;7747;2152;501;1644;7;t18;20210219;2021-02-18;Podkarpackie
271;12;0;12;464;286;5256;1155;287;853;15;t20;20210219;2021-02-18;Podlaskie
787;13;0;13;1221;517;16346;3157;832;2221;104;t22;20210219;2021-02-18;Pomorskie
829;23;2;21;1386;617;12453;4821;905;3857;59;t24;20210219;2021-02-18;Śląskie
142;4;1;3;267;133;2564;1529;188;1310;31;t26;20210219;2021-02-18;Świętokrzyskie
732;5;0;5;1076;568;13635;2147;760;1349;38;t28;20210219;2021-02-18;Warmińsko-mazurskie
676;37;13;24;1295;620;14501;4070;709;3324;37;t30;20210219;2021-02-18;Wielkopolskie
346;9;0;9;655;346;8424;1857;367;1468;22;t32;20210219;2021-02-18;Zachodniopomorskie
8510;254;45;209;15509;7406;166639;50505;9249;40553;703;t00;20210220;2021-02-19;cały kraj
547;15;7;8;978;438;8373;3168;596;2536;36;t02;20210220;2021-02-19;Dolnośląskie
535;14;0;14;1036;628;10751;3114;629;2425;60;t04;20210220;2021-02-19;Kujawsko-pomorskie
313;16;1;15;677;356;6998;2232;341;1861;30;t06;20210220;2021-02-19;Lubelskie
267;9;6;3;466;250;5479;1400;284;1105;11;t08;20210220;2021-02-19;Lubuskie
447;11;1;10;818;434;8646;3176;481;2664;31;t10;20210220;2021-02-19;Łódzkie
493;14;4;10;853;370;8096;3341;516;2787;38;t12;20210220;2021-02-19;Małopolskie
1393;53;13;40;3014;1208;33312;7567;1517;5924;126;t14;20210220;2021-02-19;Mazowieckie
133;3;0;3;236;157;2719;1118;139;969;10;t16;20210220;2021-02-19;Opolskie
461;14;1;13;677;310;8274;2151;488;1650;13;t18;20210220;2021-02-19;Podkarpackie
315;14;0;14;517;280;5430;1467;335;1118;14;t20;20210220;2021-02-19;Podlaskie
779;19;1;18;1380;717;16823;3818;820;2894;104;t22;20210220;2021-02-19;Pomorskie
818;26;6;20;1499;633;12509;4846;892;3909;45;t24;20210220;2021-02-19;Śląskie
159;1;0;1;248;105;2488;1429;215;1158;56;t26;20210220;2021-02-19;Świętokrzyskie
736;15;3;12;1097;530;13557;2201;769;1409;23;t28;20210220;2021-02-19;Warmińsko-mazurskie
552;13;2;11;1300;577;14548;3668;610;3009;49;t30;20210220;2021-02-19;Wielkopolskie
373;17;0;17;701;362;8617;2274;411;1831;32;t32;20210220;2021-02-19;Zachodniopomorskie
7038;94;21;73;414;6215;156100;37407;7534;29220;653;t00;20210221;2021-02-20;cały kraj
420;5;4;1;11;353;7757;1950;436;1487;27;t02;20210221;2021-02-20;Dolnośląskie
459;2;0;2;56;509;9913;2118;527;1546;45;t04;20210221;2021-02-20;Kujawsko-pomorskie
290;9;1;8;26;289;6615;1628;313;1293;22;t06;20210221;2021-02-20;Lubelskie
294;4;2;2;9;230;5160;1097;312;774;11;t08;20210221;2021-02-20;Lubuskie
264;10;8;2;14;258;8191;2013;294;1684;35;t10;20210221;2021-02-20;Łódzkie
380;3;1;2;16;266;7724;2669;405;2236;28;t12;20210221;2021-02-20;Małopolskie
1339;16;3;13;63;1081;31345;6118;1416;4493;209;t14;20210221;2021-02-20;Mazowieckie
137;1;0;1;1;110;2527;966;144;818;4;t16;20210221;2021-02-20;Opolskie
278;4;0;4;52;328;7866;1374;293;1065;16;t18;20210221;2021-02-20;Podkarpackie
215;7;0;7;4;230;4857;816;234;566;16;t20;20210221;2021-02-20;Podlaskie
727;7;0;7;39;589;16078;3393;765;2574;54;t22;20210221;2021-02-20;Pomorskie
662;4;1;3;30;532;11607;2942;692;2215;35;t24;20210221;2021-02-20;Śląskie
131;3;0;3;1;126;2279;961;147;773;41;t26;20210221;2021-02-20;Świętokrzyskie
364;0;0;0;18;504;12908;1178;379;770;29;t28;20210221;2021-02-20;Warmińsko-mazurskie
673;11;1;10;66;523;13244;3426;738;2653;35;t30;20210221;2021-02-20;Wielkopolskie
230;8;0;8;8;243;8011;1542;249;1271;22;t32;20210221;2021-02-20;Zachodniopomorskie
3890;17;3;14;243;6014;147208;24924;4363;20181;380;t00;20210222;2021-02-21;cały kraj
254;1;0;1;10;314;7129;1421;270;1127;24;t02;20210222;2021-02-21;Dolnośląskie
217;1;1;0;50;470;9415;1370;257;1088;25;t04;20210222;2021-02-21;Kujawsko-pomorskie
101;3;0;3;15;256;6301;946;113;824;9;t06;20210222;2021-02-21;Lubelskie
204;0;0;0;1;250;4862;853;228;618;7;t08;20210222;2021-02-21;Lubuskie
138;0;0;0;13;325;7598;1343;160;1169;14;t10;20210222;2021-02-21;Łódzkie
234;0;0;0;8;342;7461;1833;258;1538;37;t12;20210222;2021-02-21;Małopolskie
699;2;1;1;48;963;29621;3843;759;2982;102;t14;20210222;2021-02-21;Mazowieckie
52;0;0;0;4;89;2336;724;58;661;5;t16;20210222;2021-02-21;Opolskie
363;0;0;0;7;226;7570;1828;440;1376;12;t18;20210222;2021-02-21;Podkarpackie
79;4;0;4;2;276;4681;490;92;391;7;t20;20210222;2021-02-21;Podlaskie
545;1;0;1;16;493;15234;2170;579;1544;47;t22;20210222;2021-02-21;Pomorskie
306;0;0;0;18;497;11081;2238;332;1885;21;t24;20210222;2021-02-21;Śląskie
85;0;0;0;6;108;1999;855;140;697;18;t26;20210222;2021-02-21;Świętokrzyskie
158;1;0;1;11;474;12051;646;174;468;4;t28;20210222;2021-02-21;Warmińsko-mazurskie
217;3;1;2;31;550;12298;1475;230;1225;20;t30;20210222;2021-02-21;Wielkopolskie
111;1;0;1;3;336;7561;995;132;855;8;t32;20210222;2021-02-21;Zachodniopomorskie
6310;247;47;200;26735;5490;161407;41975;7056;34342;577;t00;20210223;2021-02-22;cały kraj
348;11;6;5;1709;330;8330;2899;402;2462;35;t02;20210223;2021-02-22;Dolnośląskie
453;20;1;19;1950;421;10146;2928;499;2391;38;t04;20210223;2021-02-22;Kujawsko-pomorskie
328;20;0;20;1133;261;7019;1971;355;1597;19;t06;20210223;2021-02-22;Lubelskie
145;1;1;0;930;189;5214;1054;165;873;16;t08;20210223;2021-02-22;Lubuskie
401;9;0;9;1358;243;8287;2977;447;2463;67;t10;20210223;2021-02-22;Łódzkie
293;31;12;19;1456;221;8518;2528;315;2187;26;t12;20210223;2021-02-22;Małopolskie
1028;43;10;33;4612;1006;32813;5625;1166;4345;114;t14;20210223;2021-02-22;Mazowieckie
73;5;1;4;363;87;2542;1047;85;954;8;t16;20210223;2021-02-22;Opolskie
253;8;2;6;1311;243;8472;1780;310;1460;10;t18;20210223;2021-02-22;Podkarpackie
193;4;0;4;895;155;5222;1023;213;796;14;t20;20210223;2021-02-22;Podlaskie
515;22;1;21;2275;732;16476;2916;553;2282;81;t22;20210223;2021-02-22;Pomorskie
461;40;10;30;2663;479;12732;3786;531;3211;44;t24;20210223;2021-02-22;Śląskie
119;0;0;0;545;92;2413;1353;141;1184;28;t26;20210223;2021-02-22;Świętokrzyskie
725;11;2;9;1982;247;12161;2213;754;1437;22;t28;20210223;2021-02-22;Warmińsko-mazurskie
450;14;1;13;2332;510;13188;3249;519;2709;21;t30;20210223;2021-02-22;Wielkopolskie
330;8;0;8;1194;211;7850;2022;381;1623;18;t32;20210223;2021-02-22;Zachodniopomorskie
12146;372;67;305;18011;2854;161187;61847;12985;48014;848;t00;20210224;2021-02-23;cały kraj
642;28;14;14;1097;150;8939;4225;698;3493;34;t02;20210224;2021-02-23;Dolnośląskie
741;33;2;31;1161;239;10149;3623;781;2790;52;t04;20210224;2021-02-23;Kujawsko-pomorskie
451;22;2;20;782;98;7226;2944;484;2423;37;t06;20210224;2021-02-23;Lubelskie
345;13;9;4;578;105;5200;1771;377;1376;18;t08;20210224;2021-02-23;Lubuskie
639;13;0;13;951;93;8088;4038;685;3286;67;t10;20210224;2021-02-23;Łódzkie
718;15;8;7;1079;125;8855;4098;759;3281;58;t12;20210224;2021-02-23;Małopolskie
1961;59;12;47;3444;616;33090;8800;2105;6509;186;t14;20210224;2021-02-23;Mazowieckie
108;5;0;5;249;52;2566;1302;119;1176;7;t16;20210224;2021-02-23;Opolskie
656;19;0;19;856;189;8532;3053;706;2327;20;t18;20210224;2021-02-23;Podkarpackie
449;20;1;19;609;71;4982;1793;481;1297;15;t20;20210224;2021-02-23;Podlaskie
1113;33;2;31;1679;370;15915;3987;1168;2739;80;t22;20210224;2021-02-23;Pomorskie
1529;38;4;34;1778;187;12838;6841;1618;5134;89;t24;20210224;2021-02-23;Śląskie
236;22;1;21;337;60;2562;1972;270;1663;39;t26;20210224;2021-02-23;Świętokrzyskie
970;19;5;14;1213;194;12064;2834;1007;1793;34;t28;20210224;2021-02-23;Warmińsko-mazurskie
962;18;6;12;1459;157;12774;4803;1027;3717;59;t30;20210224;2021-02-23;Wielkopolskie
412;15;1;14;729;119;7380;2615;456;2130;29;t32;20210224;2021-02-23;Zachodniopomorskie
12142;286;34;252;17947;5680;176394;57453;13018;43477;958;t00;20210225;2021-02-24;cały kraj
854;14;7;7;1105;268;9575;4220;910;3260;50;t02;20210225;2021-02-24;Dolnośląskie
859;6;0;6;1227;417;10920;3594;948;2564;82;t04;20210225;2021-02-24;Kujawsko-pomorskie
432;19;2;17;731;252;7823;2548;463;2043;42;t06;20210225;2021-02-24;Lubelskie
441;4;3;1;616;234;5712;1738;484;1230;24;t08;20210225;2021-02-24;Lubuskie
511;31;3;28;908;350;8752;3477;570;2845;62;t10;20210225;2021-02-24;Łódzkie
752;4;3;1;1046;284;9699;3905;794;3071;40;t12;20210225;2021-02-24;Małopolskie
1984;45;3;42;3409;878;35996;9691;2182;7252;257;t14;20210225;2021-02-24;Mazowieckie
212;6;0;6;264;65;2623;1222;227;985;10;t16;20210225;2021-02-24;Opolskie
779;18;3;15;883;275;9658;2836;822;1991;23;t18;20210225;2021-02-24;Podkarpackie
403;18;0;18;566;233;5410;1404;431;954;19;t20;20210225;2021-02-24;Podlaskie
1112;23;3;20;1558;390;17536;3836;1157;2585;94;t22;20210225;2021-02-24;Pomorskie
1173;25;1;24;1748;475;13970;5437;1246;4139;52;t24;20210225;2021-02-24;Śląskie
319;11;0;11;348;135;2724;1844;343;1435;66;t26;20210225;2021-02-24;Świętokrzyskie
810;22;0;22;1295;661;13487;2284;835;1411;38;t28;20210225;2021-02-24;Warmińsko-mazurskie
862;18;6;12;1514;415;14573;4222;900;3280;42;t30;20210225;2021-02-24;Wielkopolskie
461;22;0;22;717;278;7909;2384;509;1836;39;t32;20210225;2021-02-24;Zachodniopomorskie
11539;259;62;197;17989;8438;188482;53369;12425;40102;842;t00;20210226;2021-02-25;cały kraj
849;26;13;13;1138;380;10319;3908;950;2910;48;t02;20210226;2021-02-25;Dolnośląskie
743;14;2;12;1177;545;11621;3602;819;2726;57;t04;20210226;2021-02-25;Kujawsko-pomorskie
406;8;1;7;754;350;8112;2289;437;1817;35;t06;20210226;2021-02-25;Lubelskie
461;13;7;6;567;220;5977;1774;489;1272;13;t08;20210226;2021-02-25;Lubuskie
512;10;1;9;882;444;9506;3121;549;2503;69;t10;20210226;2021-02-25;Łódzkie
660;14;8;6;1008;491;10496;3482;737;2705;40;t12;20210226;2021-02-25;Małopolskie
2098;35;11;24;3582;1437;38932;8040;2210;5612;218;t14;20210226;2021-02-25;Mazowieckie
157;11;6;5;193;98;2776;984;165;816;3;t16;20210226;2021-02-25;Opolskie
680;18;1;17;859;464;10190;2927;787;2120;20;t18;20210226;2021-02-25;Podkarpackie
353;10;0;10;568;332;5764;1425;368;1036;21;t20;20210226;2021-02-25;Podlaskie
1050;20;1;19;1541;765;18719;3828;1106;2627;95;t22;20210226;2021-02-25;Pomorskie
1018;20;4;16;1863;791;14948;4868;1105;3707;56;t24;20210226;2021-02-25;Śląskie
201;10;0;10;319;127;3002;1660;228;1372;60;t26;20210226;2021-02-25;Świętokrzyskie
960;11;1;10;1390;725;14029;2418;990;1395;33;t28;20210226;2021-02-25;Warmińsko-mazurskie
806;18;6;12;1429;775;15739;3930;857;3044;29;t30;20210226;2021-02-25;Wielkopolskie
395;21;0;21;708;438;8318;2064;425;1611;28;t32;20210226;2021-02-25;Zachodniopomorskie
12100;303;55;248;19492;9205;191595;56971;12989;43121;861;t00;20210227;2021-02-26;cały kraj
799;10;4;6;1222;578;10931;3919;861;3017;41;t02;20210227;2021-02-26;Dolnośląskie
708;21;4;17;1272;793;11704;3896;834;2992;70;t04;20210227;2021-02-26;Kujawsko-pomorskie
408;42;8;34;892;337;8158;2690;445;2214;31;t06;20210227;2021-02-26;Lubelskie
383;8;3;5;591;419;6185;1671;424;1230;17;t08;20210227;2021-02-26;Lubuskie
710;15;4;11;1046;377;9389;3643;751;2841;51;t10;20210227;2021-02-26;Łódzkie
629;19;7;12;1222;418;10925;3657;674;2953;30;t12;20210227;2021-02-26;Małopolskie
2272;33;10;23;3706;1645;39611;9261;2432;6633;196;t14;20210227;2021-02-26;Mazowieckie
120;5;0;5;245;154;2814;1169;134;1027;8;t16;20210227;2021-02-26;Opolskie
684;30;1;29;938;479;10405;2726;727;1977;22;t18;20210227;2021-02-26;Podkarpackie
327;11;0;11;586;293;5754;1493;351;1119;23;t20;20210227;2021-02-26;Podlaskie
